title,price,rating,image_url,stock availability
A Light in the Attic,51.77,Three,http://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,In stock
Tipping the Velvet,53.74,One,http://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,In stock
Soumission,50.10,One,http://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,In stock
Sharp Objects,47.82,Four,http://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,In stock
Sapiens: A Brief History of Humankind,54.23,Five,http://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,In stock
The Requiem Red,22.65,One,http://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,In stock
The Dirty Little Secrets of Getting Your Dream Job,33.34,Four,http://books.toscrape.com/media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,In stock
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three,http://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,In stock
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60,Four,http://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,In stock
The Black Maria,52.15,One,http://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,In stock
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two,http://books.toscrape.com/media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,In stock
Shakespeare's Sonnets,20.66,Four,http://books.toscrape.com/media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,In stock
Set Me Free,17.46,Five,http://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,In stock
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,http://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,In stock
Rip it Up and Start Again,35.02,Five,http://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,In stock
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three,http://books.toscrape.com/media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,In stock
